"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"Cancer; Prostate Cancer; Urologic Diseases","Address;Animals;Bone neoplasms;Cell Communication;Cells;Collaborations;Disease;Elements;Engraftment;Flow Cytometry;Fostering;Genotype;Hematopoietic;Histocompatibility Testing;Human;Image;Label;Life;Localized Disease;Malignant - descriptor;Malignant Neoplasms;Malignant neoplasm of prostate;Measurement;Mesenchymal;Mesenchymal Cell Neoplasm;Metastatic Lesion;Metastatic Neoplasm to the Bone;Metastatic to;Molecular;Neoplasm Metastasis;Play;Population;Process;Regulation;Resolution;Role;Site;Supporting Cell;Technology;Testing;Time;Tissues;Transgenic Animals;Work;base;bone;bone cell;cancer cell;cancer type;cell type;in vivo;interest;neoplastic cell;tool;tumor","Bone Microenvironment Contributions to Metastatic Disease","n/a","NCI","8555538","10/12/2012 8:49:51 AM","RFA-CA-10-021","5U54CA163191-02","5","U54","CA","163191","02"," "," ","9/26/2011 12:00:00 AM","8/2/2012 12:00:00 AM","ZCA1-SRLB-3(O1)","5444","1861205","SCADDEN, DAVID T","Not Applicable","07","Unavailable","071723621","C1CPANL3EWK4","071723621","C1CPANL3EWK4","US","42.346758","-71.10256","758101","BETH ISRAEL DEACONESS MEDICAL CENTER","BOSTON","MA","Independent Hospitals","022155400","UNITED STATES","N","8/1/2012 12:00:00 AM","7/31/2013 12:00:00 AM"," ","Research Centers","2012","274218","274218"," ","192481","81737"," "," ",
"No NIH Category available","Address;Animals;Bone neoplasms;Cell Communication;Cells;Collaborations;Disease;Elements;Engraftment;Flow Cytometry;Fostering;Genotype;Hematopoietic;Histocompatibility Testing;Human;Image;Label;Life;Localized Disease;Malignant - descriptor;Malignant Neoplasms;Malignant neoplasm of prostate;Measurement;Mesenchymal;Mesenchymal Cell Neoplasm;Metastatic Lesion;Metastatic Neoplasm to the Bone;Metastatic to;Molecular;Neoplasm Metastasis;Play;Population;Process;Regulation;Resolution;Role;Site;Supporting Cell;Technology;Testing;Time;Tissues;Transgenic Animals;Work;base;bone;bone cell;cancer cell;cancer type;cell type;in vivo;interest;neoplastic cell;tool;tumor","Bone Microenvironment Contributions to Metastatic Disease","n/a","NCI","8580858","2/12/2013 12:00:00 AM","RFA-CA-10-021","7U54CA163191-03","7","U54","CA","163191","03"," "," "," "," ","ZCA1-SRLB-3","5444","1861205","SCADDEN, DAVID T","Not Applicable","09","Unavailable","800772139","S3GMKS8ELA16","800772139","S3GMKS8ELA16","US","29.706319","-95.397195","578407","UNIVERSITY OF TX MD ANDERSON CAN CTR","HOUSTON","TX","Domestic Higher Education","770304009","UNITED STATES","N","12/1/2012 12:00:00 AM","7/31/2013 12:00:00 AM"," ","Research Centers","2012","273996","273996"," ","170491","103505"," "," ",
"Genetics; Pediatric","Ablation;Angiogenic Switch;Applications Grants;Biological;Bone Development;Cartilage;Cell Death;Cell Differentiation process;Cell Survival;Cells;Chondrocytes;Collagen;Data;Disease;Environment;Enzymes;Epiphysial cartilage;Fetal Development;Fetal Growth;Generations;Genetic;Health;Hydroxylation;Hypoxia;Hypoxia Inducible Factor;In Vitro;Knowledge;Learning;Limb Bud;Malignant Neoplasms;Mediator of activation protein;Mesenchymal;Mesenchymal Differentiation;Mesenchymal Stem Cells;Mesenchyme;Metatarsal bone structure;Modeling;Molecular;Mutant Strains Mice;Organogenesis;Oxygen;Oxygen measurement, partial pressure, arterial;Phenotype;Post-Translational Protein Processing;Primordium;Process;Procollagen-Proline Dioxygenase;Protein Isoforms;Regulation;Role;Staging;Testing;Tissues;Vascular Endothelial Growth Factor A;Wild Type Mouse;Work;bone;fetal;hypoxia inducible factor 1;in vivo;insight;loss of function;mutant;stem cell biology;transcription factor;ubiquitin-protein ligase","ROLE OF HYPOXIA IN DIFFERENTIATION","n/a","NIAMS","8248070","4/20/2012 12:00:00 AM","PA-07-070","5R01AR048191-11","5","R01","AR","048191","11"," ","TYREE, BERNADETTE","4/15/2003 12:00:00 AM","3/31/2014 12:00:00 AM","Skeletal Biology Structure and Regeneration Study Section[SBSR]"," ","6803498","SCHIPANI, ERNESTINA ","Not Applicable","07","INTERNAL MEDICINE/MEDICINE","603007902","SHHBRBAPSM35","603007902","SHHBRBAPSM35","US","39.780714","-86.174977","577806","INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS","INDIANAPOLIS","IN","SCHOOLS OF MEDICINE","462022915","UNITED STATES","N","4/1/2012 12:00:00 AM","3/31/2014 12:00:00 AM","846","Non-SBIR/STTR","2012"," "," ","NIAMS","233342","66627"," ","299969",
"Genetics; Osteoporosis; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Ablation;Actins;Adipocytes;Adipose tissue;Adult;Aspirate substance;BMP2 gene;Bone Marrow;Bone Regeneration;Bone Tissue;Breeding;Cells;Characteristics;Chondrocytes;Clinical;Collagen;Collection;Color;Commit;Development;Exhibits;Experimental Models;FGF2 gene;Fluorescence-Activated Cell Sorting;Foundations;Fracture;Fracture Healing;Future;Ganciclovir;Gel;Goals;Grant;Hereditary Disease;Human;In Vitro;Injury;Knowledge;Label;Measures;Mesenchymal;Mesenchymal Stem Cells;Modeling;Mus;Myofibroblast;Natural regeneration;Osteoblasts;Osteogenesis;Osteoporosis;Pericytes;Phenotype;Population;Regenerative Medicine;Reporter;Research;Role;Signal Pathway;Smooth Muscle;Source;Staging;Stem cells;Stromal Cells;Suction Lipectomy;Tamoxifen;Testing;Therapeutic;Tissues;Transcription Factor AP-2 Alpha;Transgenes;Transgenic Mice;Transgenic Model;Transplantation;alpha Actin;base;bone;bone healing;in vitro testing;in vivo;in vivo Model;inhibitor/antagonist;mouse model;osteogenic;osteoprogenitor cell;progenitor;promoter;public health relevance;recombinase;regenerative;reparative medicine;research study;tissue repair;tool;transgene expression;translational study","Defining a myofibroblast/pericyte as a mesenchymal progenitor cell","
The aims of this application are focused to better identification and characterization of adult mesenchymal
progenitor cells. Our study will evaluate their ability to differentiate into mature mesenchymal lineages in vitro
and in vivo and determine the diverging point at which mesenchymal progenitor cells commit to mature
lineages and factors that can modulate this commitment. The knowledge developed in this grant will provide
the foundation for future studies aimed at use of mesenchymal progenitor cells as therapeutic tools for
osteoporosis and genetic disorders of bone.","NIAMS","8214496","3/9/2012 12:00:00 AM","PA-10-067","5R01AR055607-02","5","R01","AR","055607","02"," ","WANG, FEI","2/1/2011 12:00:00 AM","1/31/2015 12:00:00 AM","Skeletal Biology Development and Disease Study Section[SBDD]"," ","8263348","KALAJZIC, IVO ","Not Applicable","05","DENTISTRY","022254226","H6D6JMXJXDE6","022254226","H6D6JMXJXDE6","US","41.733439","-72.797053","1506603","UNIVERSITY OF CONNECTICUT SCH OF MED/DNT","FARMINGTON","CT","SCHOOLS OF DENTISTRY/ORAL HYGN","060305335","UNITED STATES","N","2/1/2012 12:00:00 AM","1/31/2013 12:00:00 AM","846","Non-SBIR/STTR","2012"," "," ","NIAMS","225000","118867"," ","343867",
"Breast Cancer; Cancer","Adopted;Affect;Breast Cancer Cell;Cancer Biology;Cancer cell line;Cell Line;Cells;Clinical;Complement;Dependence;Growth Factor;Individual;Interleukin-6;JAK2 gene;Lead;Malignant Neoplasms;Measures;Mediator of activation protein;Mesenchymal;Mesenchymal Cell Neoplasm;Modeling;Monitor;Mus;Normal Cell;Pathway interactions;Pharmaceutical Preparations;Population;Process;Protocols documentation;Resistance;Signal Transduction;Stat3 Signaling Pathway;Stochastic Processes;Stromal Cells;Systems Biology;Testing;Therapeutic;Translating;autocrine;base;biochemical model;cancer cell;cancer therapy;cytokine;design;experience;extracellular;fitness;improved;in vivo;inhibitor/antagonist;malignant breast neoplasm;mathematical model;melanoma;mouse model;neoplastic cell;paracrine;research study;response;tumor;tumor progression;tumorigenesis","Variability of Cellular Responses to Growth Factors and Drugs During Tumorgenesis","n/a","NCI","8377732","5/9/2012 12:00:00 AM","RFA-CA-09-011","5U54CA148967-03","5","U54","CA","148967","03"," "," "," "," ","ZCA1-SRLB-C","6636","8605381","ALTAN-BONNET, GREGOIRE ","Not Applicable","12","Unavailable","064931884","KUKXRCZ6NZC2","064931884","KUKXRCZ6NZC2","US","40.764332","-73.955697","5079202","SLOAN-KETTERING INST CAN RESEARCH","NEW YORK","NY","Research Institutes","100656007","UNITED STATES","N","3/1/2012 12:00:00 AM","2/28/2013 12:00:00 AM"," ","Research Centers","2012","549980","549980"," ","289995","259985"," "," ",
"Biotechnology; Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation","Area;Bone Regeneration;Cartilage;Cell Differentiation process;Cell Therapy;Cells;Chondrocytes;Chondrogenesis;Defect;Development;Disease;Embryo;Fracture Healing;Future;Gene Silencing;Gene Targeting;Generations;Harvest;Human;Implant;In Vitro;Injection of therapeutic agent;Injury;Laboratories;Lentivirus Vector;Maintenance;Mediating;Mesenchymal;Mesenchymal Differentiation;Mesenchymal Stem Cells;Messenger RNA;MicroRNAs;Modeling;Mus;Muscle;Musculoskeletal;Musculoskeletal Development;Osteoblasts;Osteogenesis;Pathway interactions;Phenotype;Process;Proliferating;Regulation;Role;Small RNA;Smooth Muscle;Source;Staging;Staining method;Stains;Stem cells;Testing;Therapeutic Uses;Tissue-Specific Gene Expression;Tissues;Transcription Repressor/Corepressor;Transplantation;bone;cancer stem cell;cartilage cell;cartilage repair;cell type;embryo tissue;gene repression;improved;in vivo;inhibitor/antagonist;mineralization;novel;osteogenic;overexpression;prevent;repaired;research study;skeletal;stem;stem cell differentiation;tibia;tissue regeneration","Multilineage regulation of mesenchymal stem cell differentiation by microRNAs"," Bone and cartilage repair, following injury or disease, may be facilitated by the transplantation of stem/progenitor cells. Successful repair requires the generation of stable bone/cartilage cells from implanted stem cells through the process of differentiation. This project will study the roles of small regulatory RNAs (microRNAs) in controlling the differentiation pathways of stem cells towards specific cell types. This should uncover novel mechanisms that can be exploited for therapeutic use in cartilage defect repair and fracture healing.  
  
    

","NIAMS","8227821","3/6/2012 12:00:00 AM","PA-10-069","1R21AR062239-01","1","R21","AR","062239","01"," ","WANG, FEI","3/15/2012 12:00:00 AM","1/31/2014 12:00:00 AM","Skeletal Biology Development and Disease Study Section[SBDD]"," ","10809640","PALMER, GLYN ","HERNANDO, EVA ","12","INTERNAL MEDICINE/MEDICINE","121911077","M5SZJ6VHUHN8","121911077","M5SZJ6VHUHN8","US","40.744985","-73.978118","5998304","NEW YORK UNIVERSITY SCHOOL OF MEDICINE","NEW YORK","NY","SCHOOLS OF MEDICINE","10016","UNITED STATES","N","3/15/2012 12:00:00 AM","1/31/2013 12:00:00 AM","846","Non-SBIR/STTR","2012"," "," ","NIAMS","112500","76494"," ","188994",
"Genetics; Human Genome; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Adult;Aging;Animal Model;Biochemical;Cartilage;Cells;Development;Embryo;Embryonic Development;G Protein-Coupled Receptor Signaling;Gases;Genetic;Goals;Heterotopic Ossification;Homeostasis;Human;In Vitro;Joints;Lead;Mesenchymal Differentiation;Mesenchymal Stem Cells;Molecular;Mus;Mutation;Osteoblasts;Osteogenesis;Physiology;Proteins;Skeletal Development;Skeletal system;Skeleton;System;Tissues;bone;bone mass;disabling disease;in vivo;loss of function;mature animal;osteoblast differentiation;progenitor;skeletal abnormality;smoothened signaling pathway","Hedgehog signaling in adult bone and cartilage homeostasis","n/a","NHGRI","8565555"," "," ","1ZIAHG200342-06","1","ZIA","HG","200342","06"," "," "," "," "," "," ","9416432","YANG, YINGZI ","Not Applicable","n/a","Unavailable"," "," "," "," "," "," "," "," ","NATIONAL HUMAN GENOME RESEARCH INSTITUTE"," "," ","Other Domestic Non-Profits"," ","UNITED STATES","N"," "," "," ","Intramural Research","2012"," "," ","NHGRI"," "," "," ","348743",
"Cancer; Clinical Research; Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Academic Medical Centers;Address;Architecture;Area;Award;Binding;Binding Sites;Biological Models;Bone Marrow;Cancer Model;Cell Line;Cell Proliferation;Cells;Data;Defect;Dependence;Development;Disease;Down-Regulation;Event;Exhibits;Founder Generation;Future;Herbert Irving Comprehensive Cancer Center;Human;Immunohistochemistry;In Vitro;Lasers;Lead;Lesion;Maintenance;Malignant Neoplasms;Mediating;Mentors;Mesenchymal;Mesenchymal Differentiation;Mesenchymal Stem Cells;Mesenchyme;Monitor;Mus;Musculoskeletal;Musculoskeletal Development;Oncogenes;Pathogenesis;Phenotype;Physiological;Prognostic Marker;Proliferating;RNA Interference;Regulation;Research;Research Personnel;Role;Secondary to;Signal Transduction;Small Interfering RNA;Stimulus;Testing;Therapeutic;Tissue Engineering;Tissues;Training;Transcriptional Regulation;Transgenic Mice;Translating;Tumorigenicity;Undifferentiated;Work;base;career;chromatin immunoprecipitation;design;in vivo;inhibitor/antagonist;jun Oncogene;mouse model;novel;novel diagnostics;overexpression;prevent;progenitor;promoter;sarcoma;stem cell biology;stem cell differentiation;therapeutic target;tissue regeneration;transcription factor;tumor;tumorigenesis;tumorigenic","The role of DKK1, a Wnt-Inhibitor, in Mesenchymal Differentiation/Sarcomagenesis","n/a","NCI","8208238","1/4/2012 12:00:00 AM","PA-06-512","5K08CA132986-04","5","K08","CA","132986","04"," ","PERKINS, SUSAN N","1/15/2009 12:00:00 AM","8/1/2012 12:00:00 AM","Transition to Independence Study Section (I)[NCI-I]"," ","1900840","MATUSHANSKY, IGOR ","Not Applicable","13","INTERNAL MEDICINE/MEDICINE","621889815","QHF5ZZ114M72","621889815","QHF5ZZ114M72","US","40.841253","-73.940404","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NEW YORK","NY","SCHOOLS OF MEDICINE","100323725","UNITED STATES","N","1/1/2012 12:00:00 AM","8/1/2012 12:00:00 AM","398","Other Research-Related","2012"," "," ","NCI","157300","12584"," ","169884",
"Aging; Arthritis; Genetics; Human Genome; Osteoporosis; Pediatric; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Bone Matrix;Cartilage;Cell Differentiation process;Cell physiology;Chondrocytes;Degenerative Disorder;Degenerative polyarthritis;Development;Disease;Elements;Embryo;Embryonic Development;Ensure;Family member;Goals;Limb Development;Limb structure;Liver Stem Cell;Malignant Neoplasms;Mediating;Mesenchymal;Mesenchymal Stem Cells;Molecular;Morphogenesis;Mutation;Osteoblasts;Osteogenesis;Osteoporosis;Pathway interactions;Physical condensation;Signal Pathway;Signal Transduction;Signaling Molecule;Skeletal Development;Skeletal system;Structure;Testing;Work;age related;beta catenin;bone;human disease;intercellular communication;interest;mature animal;self-renewal;skeletal","Wnt signaling in vetebrate limb and skeletal development","n/a","NHGRI","8565533"," "," ","1ZIAHG000187-12","1","ZIA","HG","000187","12"," "," "," "," "," "," ","9416432","YANG, YINGZI ","Not Applicable","n/a","Unavailable"," "," "," "," "," "," "," "," ","NATIONAL HUMAN GENOME RESEARCH INSTITUTE"," "," ","Other Domestic Non-Profits"," ","UNITED STATES","N"," "," "," ","Intramural Research","2012"," "," ","NHGRI"," "," "," ","813733",
"Bioengineering; Networking and Information Technology R&D; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation","Allografting;Behavior;Bioinformatics;Cell Communication;Cell Extracts;Cells;Chicago;Clinical;Communities;Computer software;Data;Data Analyses;Data Set;Descriptor;Development;Future;Illinois;Image;Image Analysis;Imagery;Information Technology;Institution;Instruction;Internet;Investigation;Islets of Langerhans Transplantation;Machine Learning;Measurement;Mesenchymal;Mesenchymal Stem Cells;Microscopy;Nature;Online Systems;Outcome;Performance;Property;Public Health;Research;Research Institute;Research Personnel;Resources;Services;Solutions;Stem Cell Research;Supercomputing;Techniques;Time;Transplantation;Universities;Validation;Work;analytical method;cell behavior;computing resources;data management;data sharing;design;image processing;novel;prototype;regenerative;response;statistics;stem;web services","Supercomputing and Multidimensional Data Analysis","The relevance of this project to public health is in discovering fundamental properties and relationships of mesenchymal stem cells (MSC) with respect to islet cell transplants. It is also envisioned that the information technology designed and developed under this particular project would serve as a technological prototype for inclusions of additional data sets and software from other investigators, and for providing advanced services 
to the community of researchers and practitioners working on MSC research.","NIAID","8379595","7/20/2012 12:00:00 AM","PAR-10-271","5P01AI089556-02","5","P01","AI","089556","02"," "," "," "," ","ZAI1-MFH-I","6134","11051375","MCHENRY, KENTON ","Not Applicable","27","Unavailable","052780918","F8THLJQSAF93","052780918","F8THLJQSAF93","US","25.775337","-80.209809","5221250","UNIVERSITY OF MIAMI SCHOOL OF MEDICINE","CORAL GABLES","FL","Domestic Higher Education","331462926","UNITED STATES","N","8/1/2012 12:00:00 AM","7/31/2013 12:00:00 AM"," ","Non-SBIR/STTR","2012","129260","129260"," ","108319","20941"," "," ",
